Survey_Food_Code;display_name;cond_1_code;cond_1_name;cond_2_code;cond_2_name;cond_3_code;cond_3_name;cond_4_code;cond_4_name;cond_5_code;cond_5_name
51208000;"100% Whole Wheat Bagel""";81101000;Butter;81102020;Tub margarine;81104010;Reduced calorie spread (margarine type);14301010;Cream cheese (regular);14303010;Low fat cream cheese
58100100;Beef burrito (no beans):;12310100;Sour cream;63409010;Guacamole;74402100;Salsa;;;;
58104740;Chicken & cheese quesadilla:;12310100;Sour cream;63409010;Guacamole;74402100;Salsa;;;;
23559;Ground beef (95% lean);74303000;Ketchup (catsup);74406010;Barbeque sauce;28500040;Beef gravy;74406100;Steak sauce (A-1);;
23564;Ground beef (90% lean);74303000;Ketchup (catsup);74406010;Barbeque sauce;28500040;Beef gravy;74406100;Steak sauce (A-1);;
21101120;Beef steak, grilled or broiled (eat lean & fat);74303000;Ketchup (catsup);74406100;Steak sauce (A-1);81101000;Butter;81102020;Tub margarine;28500040;Beef gravy
21101130;Beef steak, grilled or broiled (eat lean only);74303000;Ketchup (catsup);74406100;Steak sauce (A-1);81101000;Butter;81102020;Tub margarine;28500040;Beef gravy
21102120;Beef steak, fried (eat lean & fat);74303000;Ketchup (catsup);74406100;Steak sauce (A-1);81101000;Butter;81102020;Tub margarine;28500040;Beef gravy
21102130;Beef steak, fried (eat lean only);74303000;Ketchup (catsup);74406100;Steak sauce (A-1);81101000;Butter;81102020;Tub margarine;28500040;Beef gravy
21103120;Beef steak, breaded and fried (eat lean & fat);74303000;Ketchup (catsup);74406100;Steak sauce (A-1);81101000;Butter;81102020;Tub margarine;28500040;Beef gravy
21103130;Beef steak, breaded and fried (eat lean only);74303000;Ketchup (catsup);74406100;Steak sauce (A-1);81101000;Butter;81102020;Tub margarine;28500040;Beef gravy
21401110;Roast beef (eat lean & fat);81302060;Horseradish sauce;74303000;Ketchup (catsup);74406010;Barbeque sauce;28500040;Beef gravy;;
21401120;Roast beef (eat lean only);81302060;Horseradish sauce;74303000;Ketchup (catsup);74406010;Barbeque sauce;28500040;Beef gravy;;
21501000;Ground beef (75% lean, regular);74303000;Ketchup (catsup);74406010;Barbeque sauce;28500040;Beef gravy;74406100;Steak sauce (A-1);;
21501200;Ground beef (80% lean);74303000;Ketchup (catsup);74406010;Barbeque sauce;28500040;Beef gravy;74406100;Steak sauce (A-1);;
21501300;Ground beef (85% lean);74303000;Ketchup (catsup);74406010;Barbeque sauce;28500040;Beef gravy;74406100;Steak sauce (A-1);;
24107010;Fried chicken, boneless and battered (skin eaten);74406010;Barbeque sauce;83200100;Low-calorie salad dressing;83112500;Creamy dressing (ranch);28500000;Chicken gravy;91361010;Sweet and sour sauce
24122110;Baked or roasted chicken breast (skin eaten);74303000;Ketchup (catsup);28500000;Chicken gravy;74406010;Barbeque sauce;83112500;Creamy dressing (ranch);83200100;Low-calorie salad dressing
24122120;Baked or roasted chicken breast (skin not eaten);74303000;Ketchup (catsup);28500000;Chicken gravy;74406010;Barbeque sauce;83112500;Creamy dressing (ranch);83200100;Low-calorie salad dressing
24124120;Fried chicken breast (no coating, skin not eaten);74406010;Barbeque sauce;83200100;Low-calorie salad dressing;83112500;Creamy dressing (ranch);28500000;Chicken gravy;91361010;Sweet and sour sauce
24127110;Fried chicken breast (battered, skin eaten);74406010;Barbeque sauce;83200100;Low-calorie salad dressing;83112500;Creamy dressing (ranch);28500000;Chicken gravy;91361010;Sweet and sour sauce
24127150;Fried chicken breast (skinless, battered);74406010;Barbeque sauce;83200100;Low-calorie salad dressing;83112500;Creamy dressing (ranch);28500000;Chicken gravy;91361010;Sweet and sour sauce
24132210;Baked or roasted chicken dark meat quarter (skin eaten);74303000;Ketchup (catsup);28500000;Chicken gravy;74406010;Barbeque sauce;83112500;Creamy dressing (ranch);83200100;Low-calorie salad dressing
24132220;Baked or roasted chicken dark meat quarter (skin not eaten);74303000;Ketchup (catsup);28500000;Chicken gravy;74406010;Barbeque sauce;83112500;Creamy dressing (ranch);83200100;Low-calorie salad dressing
24142220;Baked or roasted chicken drumstick (skin not eaten);74303000;Ketchup (catsup);28500000;Chicken gravy;74406010;Barbeque sauce;83112500;Creamy dressing (ranch);83200100;Low-calorie salad dressing
24147210;Fried chicken drumstick (battered, skin eaten);74303000;Ketchup (catsup);28500000;Chicken gravy;74406010;Barbeque sauce;83112500;Creamy dressing (ranch);83200100;Low-calorie salad dressing
24152220;Baked or roasted chicken thigh (skin not eaten);74303000;Ketchup (catsup);28500000;Chicken gravy;74406010;Barbeque sauce;83112500;Creamy dressing (ranch);83200100;Low-calorie salad dressing
24154210;Fried Chicken thigh (no coating, skin eaten);74406010;Barbeque sauce;83200100;Low-calorie salad dressing;83112500;Creamy dressing (ranch);28500000;Chicken gravy;91361010;Sweet and sour sauce
24154220;Fried Chicken thigh (no coating, skin not eaten);74406010;Barbeque sauce;83200100;Low-calorie salad dressing;83112500;Creamy dressing (ranch);28500000;Chicken gravy;91361010;Sweet and sour sauce
24157210;Fried chicken thigh (battered, skin eaten);74406010;Barbeque sauce;83200100;Low-calorie salad dressing;83112500;Creamy dressing (ranch);28500000;Chicken gravy;91361010;Sweet and sour sauce
24164110;Fried chicken wing (no coating, skin eaten);74406010;Barbeque sauce;83200100;Low-calorie salad dressing;83112500;Creamy dressing (ranch);28500000;Chicken gravy;91361010;Sweet and sour sauce
24167110;Fried chicken wing (battered, skin eaten);74406010;Barbeque sauce;83200100;Low-calorie salad dressing;83112500;Creamy dressing (ranch);28500000;Chicken gravy;91361010;Sweet and sour sauce
24198700;Chicken patty, fillet or tenders (breaded);74406010;Barbeque sauce;83200100;Low-calorie salad dressing;83112500;Creamy dressing (ranch);28500000;Chicken gravy;91361010;Sweet and sour sauce
24198740;CHICKEN NUGGETS;74406010;Barbeque sauce;83200100;Low-calorie salad dressing;83112500;Creamy dressing (ranch);74303000;Ketchup (catsup);91361010;Sweet and sour sauce
24201120;Roasted turkey (white meat);28500000;Turkey gravy;75506010;Mustard;74303000;Ketchup (catsup);83107000;Mayonnaise, regular;83203250;Fat-free mayonnaise-type dressing
24201320;Roasted turkey (white & dark meat);28500000;Turkey gravy;75506010;Mustard;74303000;Ketchup (catsup);83107000;Mayonnaise, regular;83203250;Fat-free mayonnaise-type dressing
25210230;Low fat hot dog;75506010;Mustard;75230010;Sauerkraut, no fat added;74303000;Ketchup (catsup);75503020;Pickle relish;27111410;Chili con carne (with beans)
25210280;HOT DOG;75506010;Mustard;75230010;Sauerkraut, no fat added;74303000;Ketchup (catsup);75503020;Pickle relish;27111410;Chili con carne (with beans)
25220350;BRATWURST;75506010;Mustard;75230010;Sauerkraut, no fat added;74303000;Ketchup (catsup);75503020;Pickle relish;27111410;Chili con carne (with beans)
26100120;baked fish;81302050;Tartar sauce;74303000;Ketchup (catsup);61204010;Lemon juice;81101000;Butter;81102020;Tub margarine
26100150;Fried fish (breaded or battered);81302050;Tartar sauce;74303000;Ketchup (catsup);61204010;Lemon juice;81101000;Butter;81102020;Tub margarine
26100230;Baked FISH STICK or FILLET (BREADED or BATTERED);81302050;Tartar sauce;74303000;Ketchup (catsup);61204010;Lemon juice;81101000;Butter;81102020;Tub margarine
26100240;Fried FISH STICK or FILLET (BREADED or BATTERED);81302050;Tartar sauce;74303000;Ketchup (catsup);61204010;Lemon juice;81101000;Butter;81102020;Tub margarine
26107120;BAKED OR BROILED catfish;81302050;Tartar sauce;74402100;Salsa;61204010;Lemon juice;81101000;Butter;81102020;Tub margarine
26107150;Fried CATFISH (breaded or BATTERED);81302050;Tartar sauce;74303000;Ketchup (catsup);61204010;Lemon juice;81101000;Butter;81102020;Tub margarine
26109120;BAKED OR BROILED cod;81302050;Tartar sauce;74402100;Salsa;61204010;Lemon juice;81101000;Butter;81102020;Tub margarine
26109150;Fried COD (breaded or battered);81302050;Tartar sauce;74303000;Ketchup (catsup);61204010;Lemon juice;81101000;Butter;81102020;Tub margarine
26115120;baked or broiled FLOUNDER;81302050;Tartar sauce;74402100;Salsa;61204010;Lemon juice;81101000;Butter;81102020;Tub margarine
26127120;baked or broiled PERCH;81302050;Tartar sauce;74402100;Salsa;61204010;Lemon juice;81101000;Butter;81102020;Tub margarine
26137120;baked or broiled SALMON;81302050;Tartar sauce;74402100;Salsa;61204010;Lemon juice;81101000;Butter;81102020;Tub margarine
26151120;baked or broiled TROUT;81302050;Tartar sauce;74402100;Salsa;61204010;Lemon juice;81101000;Butter;81102020;Tub margarine
26153120;baked or broiled TUNA;81302050;Tartar sauce;74402100;Salsa;61204010;Lemon juice;81101000;Butter;81102020;Tub margarine
26155180;canned TUNA (in oil);83107000;Mayonnaise, regular;83110000;Miracle whip salad dressing;83203250;Fat-free mayonnaise-type dressing;75503020;Pickle relish;;
26155190;canned TUNA (in water);83107000;Mayonnaise, regular;83110000;Miracle whip salad dressing;83203250;Fat-free mayonnaise-type dressing;75503020;Pickle relish;;
26157140;Fried WHITING (FLOURED OR BREADED);81302050;Tartar sauce;74303000;Ketchup (catsup);61204010;Lemon juice;81101000;Butter;81102020;Tub margarine
26213140;Fried calamari (fried squid);81302050;Tartar sauce;74303000;Ketchup (catsup);61204010;Lemon juice;74406500;Cocktail sauce;83112500;Creamy dressing (ranch)
26303150;Fried clams (breaded);81302050;Tartar sauce;74303000;Ketchup (catsup);61204010;Lemon juice;74406500;Cocktail sauce;83112500;Creamy dressing (ranch)
26303160;Steamed CLAMS (oysters, mussels);81101000;Butter;81102020;Tub margarine;61204010;Lemon juice;74406500;Cocktail sauce;;
26309160;Steamed or boiled CRAYFISH;81101000;Butter;81102020;Tub margarine;61204010;Lemon juice;74406500;Cocktail sauce;;
26311160;Steamed or boiled LOBSTER;81101000;Butter;81102020;Tub margarine;61204010;Lemon juice;74406500;Cocktail sauce;;
26315150;Fried oysters (breaded or battered);81302050;Tartar sauce;74303000;Ketchup (catsup);61204010;Lemon juice;74406500;Cocktail sauce;83112500;Creamy dressing (ranch)
26317120;Baked or broiled SCALLOPS;81101000;Butter;81102020;Tub margarine;61204010;Lemon juice;74406500;Cocktail sauce;81302050;Tartar sauce
26317140;Fried scallops (floured or breaded);81302050;Tartar sauce;74303000;Ketchup (catsup);61204010;Lemon juice;74406500;Cocktail sauce;83112500;Creamy dressing (ranch)
26319120;Baked, broiled, or sauteed SHRIMP;81101000;Butter;81102020;Tub margarine;61204010;Lemon juice;74406500;Cocktail sauce;81302050;Tartar sauce
26319130;Steamed or boiled SHRIMP;81101000;Butter;81102020;Tub margarine;61204010;Lemon juice;74406500;Cocktail sauce;81302050;Tartar sauce
26319140;Fried SHRIMP (BREADED OR BATTERED);81302050;Tartar sauce;74303000;Ketchup (catsup);61204010;Lemon juice;74406500;Cocktail sauce;83112500;Creamy dressing (ranch)
27115100;Teriyaki steak with sauce;56205010;White rice, no fat added;56205110;Brown rice, no fat added;58150110;Fried rice (plain);;;;
27120060;Sweet & sour pork;56205010;White rice, no fat added;56205110;Brown rice, no fat added;58150110;Fried rice (plain);;;;
27145000;Chicken teriyaki;56205010;White rice, no fat added;56205110;Brown rice, no fat added;58150110;Fried rice (plain);;;;
27146050;Buffalo wing (chicken wing & sauce);83101000;Blue cheese dressing;83112500;Creamy dressing (ranch);74406010;Barbeque sauce;83200100;Low-calorie salad dressing;91361010;Sweet and sour sauce
27146100;Sweet & sour chicken;56205010;White rice, no fat added;56205110;Brown rice, no fat added;58150110;Fried rice (plain);;;;
27146350;Lemon chicken;56205010;White rice, no fat added;56205110;Brown rice, no fat added;58150110;Fried rice (plain);;;;
27445110;Stir-fried chicken and vegetables;56205010;White rice, no fat added;56205110;Brown rice, no fat added;58150110;Fried rice (plain);;;;
27445150;General Tso chicken;56205010;White rice, no fat added;56205110;Brown rice, no fat added;58150110;Fried rice (plain);;;;
27445220;Kung Pao chicken;56205010;White rice, no fat added;56205110;Brown rice, no fat added;58150110;Fried rice (plain);;;;
27450410;Stir-fried shrimp and vegetables;56205010;White rice, no fat added;56205110;Brown rice, no fat added;58150110;Fried rice (plain);;;;
27460490;Chef salad (no dressing);83112500;Creamy dressing (ranch);83106000;Italian dressing (oil and vinegar);83200100;Low-calorie salad dressing;83101000;Blue cheese dressing;83104000;French dressing
27510210;Cheeseburger, plain on bun;74303000;Ketchup (catsup);75506010;Mustard;83107000;Mayonnaise, regular;75113000;Lettuce;74101000;Raw tomatoes
27510240;Quarter pound cheeseburger on bun;74303000;Ketchup (catsup);75506010;Mustard;83107000;Mayonnaise, regular;75113000;Lettuce;74101000;Raw tomatoes
27510300;Double cheeseburger on double decker bun;74303000;Ketchup (catsup);75506010;Mustard;83107000;Mayonnaise, regular;75113000;Lettuce;74101000;Raw tomatoes
27510360;Bacon cheeseburger on bun;74303000;Ketchup (catsup);75506010;Mustard;83107000;Mayonnaise, regular;75113000;Lettuce;74101000;Raw tomatoes
27510500;HAMBURGER, PLAIN ON BUN;74303000;Ketchup (catsup);75506010;Mustard;83107000;Mayonnaise, regular;75113000;Lettuce;74101000;Raw tomatoes
27510530;Quarter pound hamburger on bun;74303000;Ketchup (catsup);75506010;Mustard;83107000;Mayonnaise, regular;75113000;Lettuce;74101000;Raw tomatoes
27510540;Double hamburger on bun;74303000;Ketchup (catsup);75506010;Mustard;83107000;Mayonnaise, regular;75113000;Lettuce;74101000;Raw tomatoes
27513010;ROAST BEEF SANDWICH;81302060;Horseradish sauce;83107000;Mayonnaise, regular;83204000;Low calorie mayonnaise;74303000;Ketchup (catsup);74406010;Barbeque sauce
27515010;Steak sandwich on roll;81302060;Horseradish sauce;83107000;Mayonnaise, regular;83204000;Low calorie mayonnaise;74303000;Ketchup (catsup);74406010;Barbeque sauce
27515070;Philly cheese steak (with fried peppers and onions, on roll);74303000;Ketchup (catsup);74406010;Barbeque sauce;83107000;Mayonnaise, regular;83204000;Low calorie mayonnaise;;
27520130;Club sandwich (chicken, bacon, tomato and lettuce);83107000;Mayonnaise, regular;83204000;Low calorie mayonnaise;;;;;;
27520300;Ham sandwich with mayo;75113000;Lettuce;74101000;Raw tomatoes;75506010;Mustard;;;;
27540110;CHICKEN SANDWICH with mayo;75113000;Lettuce;74101000;Raw tomatoes;;;;;;
27540140;FRIED CHICKEN FILLET SANDWICH;75113000;Lettuce;74101000;Raw tomatoes;83107000;Mayonnaise, regular;83204000;Low calorie mayonnaise;;
27550000;Fried FISH SANDWICH with tartar sauce;75113000;Lettuce;74101000;Raw tomatoes;;;;;;
27560300;CORN DOG (hot dog with cornbread coating);74303000;Ketchup (catsup);75506010;Mustard;14420100;Cheese spread or dip (Velveeta, Cheez Wiz);;;;
27560350;PIG IN A BLANKET (HOT DOG WRAPPED IN DOUGH);74303000;Ketchup (catsup);75506010;Mustard;74406010;Barbeque sauce;;;;
31103000;hard or soft boiled egg;81101000;Butter;81102020;Tub margarine;83107000;Mayonnaise, regular;83204000;Low calorie mayonnaise;;
31105000;fried egg;74303000;Ketchup (catsup);74402100;Salsa;;;;;;
32104950;scrambed egg or omelet (cooked without fat);74303000;Ketchup (catsup);74402100;Salsa;;;;;;
32105000;srambled egg or omelet (cooked with fat);74303000;Ketchup (catsup);74402100;Salsa;;;;;;
51101000;White bread;81101000;Butter;81102020;Tub margarine;81104010;Reduced calorie spread (margarine type);91401000;Jelly, all flavors;91406500;Jam preserves, marmalades
51107010;French bread;81101000;Butter;81102020;Tub margarine;81104010;Reduced calorie spread (margarine type);82101000;Vegetable oil;64401000;Vinegar
51109100;Pita bread (white);41205070;Hummus;14301010;Cream cheese (regular);14303010;Low fat cream cheese;82101000;Vegetable oil;;
51111010;cheese bread;81101000;Butter;81102020;Tub margarine;81104010;Reduced calorie spread (margarine type);;;;
51113010;Cinnamon bread or toast;81101000;Butter;81102020;Tub margarine;81104010;Reduced calorie spread (margarine type);91401000;Jelly, all flavors;91406500;Jam preserves, marmalades
51122000;Reduced-calorie, high-fiber bread;81101000;Butter;81102020;Tub margarine;81104010;Reduced calorie spread (margarine type);91401000;Jelly, all flavors;91406500;Jam preserves, marmalades
51129010;raisin bread;81101000;Butter;81102020;Tub margarine;81104010;Reduced calorie spread (margarine type);91401000;Jelly, all flavors;91406500;Jam preserves, marmalades
51133010;sourdough bread;81101000;Butter;81102020;Tub margarine;81104010;Reduced calorie spread (margarine type);82101000;Vegetable oil;91406500;Jam preserves, marmalades
51150000;white roll;81101000;Butter;81102020;Tub margarine;81104010;Reduced calorie spread (margarine type);91401000;Jelly, all flavors;91406500;Jam preserves, marmalades
51157000;submarine roll;81101000;Butter;81102020;Tub margarine;81104010;Reduced calorie spread (margarine type);;;;
51160110;frosted sweet roll or cinnamon bun;81101000;Butter;81102020;Tub margarine;81104010;Reduced calorie spread (margarine type);;;;
51166000;CROISSANT;81101000;Butter;81102020;Tub margarine;81104010;Reduced calorie spread (margarine type);91401000;Jelly, all flavors;91406500;Jam preserves, marmalades
51180010;BAGEL (plain);81101000;Butter;81102020;Tub margarine;14301010;Cream cheese (regular);91406500;Jam preserves, marmalades;14303010;Low fat cream cheese
51180030;Raisin bagel;81101000;Butter;81102020;Tub margarine;14301010;Cream cheese (regular);91406500;Jam preserves, marmalades;14303010;Low fat cream cheese
51186010;ENGLISH muffin;81101000;Butter;81102020;Tub margarine;81104010;Reduced calorie spread (margarine type);91401000;Jelly, all flavors;91406500;Jam preserves, marmalades
51186100;English muffin with raisins;81101000;Butter;81102020;Tub margarine;81104010;Reduced calorie spread (margarine type);91401000;Jelly, all flavors;91406500;Jam preserves, marmalades
51187000;MELBA TOAST;81101000;Butter;81102020;Tub margarine;81104010;Reduced calorie spread (margarine type);91401000;Jelly, all flavors;91406500;Jam preserves, marmalades
51201010;100% WHOLE WHEAT bread;81101000;Butter;81102020;Tub margarine;81104010;Reduced calorie spread (margarine type);91401000;Jelly, all flavors;91406500;Jam preserves, marmalades
51201150;Pita bread (100%  WHOLE WHEAT);82101000;Vegetable oil;41205070;Hummus;14301010;Cream cheese (regular);14303010;Low fat cream cheese;;
51202000;Whole wheat English muffin;81101000;Butter;81102020;Tub margarine;81104010;Reduced calorie spread (margarine type);91401000;Jelly, all flavors;91406500;Jam preserves, marmalades
51301010;WHEAT OR CRACKED WHEAT bread;81101000;Butter;81102020;Tub margarine;81104010;Reduced calorie spread (margarine type);91401000;Jelly, all flavors;91406500;Jam preserves, marmalades
51301700;wheat Bagel (part whole wheat);81101000;Butter;81102020;Tub margarine;81104010;Reduced calorie spread (margarine type);14301010;Cream cheese (regular);14303010;Low fat cream cheese
51303010;English muffin (cracked wheat, part  WHOLE WHEAT);81101000;Butter;81102020;Tub margarine;81104010;Reduced calorie spread (margarine type);91401000;Jelly, all flavors;91406500;Jam preserves, marmalades
51320530;wheat Roll (part WHOLE WHEAT);81101000;Butter;81102020;Tub margarine;81104010;Reduced calorie spread (margarine type);91401000;Jelly, all flavors;91406500;Jam preserves, marmalades
51401010;Rye bread;81101000;Butter;81102020;Tub margarine;81104010;Reduced calorie spread (margarine type);91401000;Jelly, all flavors;91406500;Jam preserves, marmalades
51601020;multigrain bread;81101000;Butter;81102020;Tub margarine;81104010;Reduced calorie spread (margarine type);91401000;Jelly, all flavors;91406500;Jam preserves, marmalades
51602010;Reduced calori, high fiber multigrain bread;81101000;Butter;81102020;Tub margarine;81104010;Reduced calorie spread (margarine type);91401000;Jelly, all flavors;91406500;Jam preserves, marmalades
52102040;Refrigerated biscuit (canned dough);81101000;Butter;81102020;Tub margarine;81104010;Reduced calorie spread (margarine type);91401000;Jelly, all flavors;91302010;Honey
52103000;biscuit (baking powder or buttermilk);81101000;Butter;81102020;Tub margarine;81104010;Reduced calorie spread (margarine type);91401000;Jelly, all flavors;91302010;Honey
52206010;cornbread;81101000;Butter;81102020;Tub margarine;81104010;Reduced calorie spread (margarine type);91401000;Jelly, all flavors;91406500;Jam preserves, marmalades
52302010;fruit muffin (blueberry, banana, etc.);81101000;Butter;81102020;Tub margarine;81104010;Reduced calorie spread (margarine type);91401000;Jelly, all flavors;91406500;Jam preserves, marmalades
52302100;fat free fruit muffin (blueberry, banana, etc.);81101000;Butter;81102020;Tub margarine;81104010;Reduced calorie spread (margarine type);91401000;Jelly, all flavors;91406500;Jam preserves, marmalades
52302500;chocolate chip muffin;81101000;Butter;81102020;Tub margarine;81104010;Reduced calorie spread (margarine type);91401000;Jelly, all flavors;91406500;Jam preserves, marmalades
52304010;Bran muffin;81101000;Butter;81102020;Tub margarine;81104010;Reduced calorie spread (margarine type);91401000;Jelly, all flavors;91406500;Jam preserves, marmalades
52304040;lowfat bran and fruit muffin;81101000;Butter;81102020;Tub margarine;81104010;Reduced calorie spread (margarine type);91401000;Jelly, all flavors;91406500;Jam preserves, marmalades
52306010;Plain Muffin;81101000;Butter;81102020;Tub margarine;81104010;Reduced calorie spread (margarine type);91401000;Jelly, all flavors;91406500;Jam preserves, marmalades
52405010;fruit bread;81101000;Butter;81102020;Tub margarine;81104010;Reduced calorie spread (margarine type);91401000;Jelly, all flavors;91406500;Jam preserves, marmalades
52407000;zucchini bread;81101000;Butter;81102020;Tub margarine;81104010;Reduced calorie spread (margarine type);91401000;Jelly, all flavors;91406500;Jam preserves, marmalades
55101000;Pancakes;81101000;Butter;81102020;Tub margarine;81104010;Reduced calorie spread (margarine type);91300010;Syrup;63101120;Applesauce (unsweetened)
55103000;Blueberry pancakes;81101000;Butter;81102020;Tub margarine;81104010;Reduced calorie spread (margarine type);91300010;Syrup;63101120;Applesauce (unsweetened)
55105200;Whole wheat pancakes;81101000;Butter;81102020;Tub margarine;81104010;Reduced calorie spread (margarine type);91300010;Syrup;63101120;Applesauce (unsweetened)
55201000;Waffle;81101000;Butter;81102020;Tub margarine;81104010;Reduced calorie spread (margarine type);91300010;Syrup;63101120;Applesauce (unsweetened)
55202000;Bran, multigrain, or wheat waffle;81101000;Butter;81102020;Tub margarine;81104010;Reduced calorie spread (margarine type);91300010;Syrup;63101120;Applesauce (unsweetened)
55211050;Lowfat waffle;81101000;Butter;81102020;Tub margarine;81104010;Reduced calorie spread (margarine type);91300010;Syrup;63101120;Applesauce (unsweetened)
